GJ 433 c,11h35m26.95s,-32d32m23.9s,9.07,0,5094.105,608.617,0.10201,0.01991,,,4,0
GJ 433 d,11h35m26.95s,-32d32m23.9s,9.07,0,36.059,0.016,0.01643,0.0029,,,19,0
GJ 436 b,11h42m11.09s,+26d42m23.7s,9.76,0.01,2.64388312,0.00000057,0.07,0.007,0.372,0.015,3,0
GJ 504 b,13h16m46.52s,+09d25m27.0s,17.54,0.08,,,4,4.5,,,20,1
GJ 536 b,14h01m03.19s,-02d39m17.5s,10.41,0.01,8.7076,0.0022,0.01686,0.00217,,,17,0
GJ 581 b,15h19m26.82s,-07d43m20.2s,6.3,0,5.3686,0.0001,0.0497,0.0009,,,17,0
GJ 581 c,15h19m26.82s,-07d43m20.2s,6.3,0,12.914,0.002,0.0173,0.0009,,,17,0
GJ 581 e,15h19m26.82s,-07d43m20.2s,6.3,0,3.149,0.0002,0.0053,0.0006,,,17,0
GJ 625 b,16h25m24.62s,+54d18m14.8s,6.47,0,14.628,0.012,0.00887,0.0016,,,4,0
GJ 649 b,16h58m08.85s,+25d44m39.0s,10.38,0,598.3,4.2,0.328,0.032,,,3,0
GJ 667 C b,17h18m58.82s,-34d59m48.6s,7.25,0,7.2004,0.0017,0.018,0.004,,,17,0
GJ 667 C c,17h18m58.82s,-34d59m48.6s,7.25,0,28.14,0.053,0.012,0.005,,,17,0
GJ 667 C e,17h18m58.82s,-34d59m48.6s,7.25,0,62.24,0.55,0.008,0.005,,,17,0
GJ 667 C f,17h18m58.82s,-34d59m48.6s,7.25,0,39.026,0.194,0.008,0.004,,,17,0
GJ 667 C g,17h18m58.82s,-34d59m48.6s,7.25,0,256.2,13.8,0.014,0.008,,,17,0
GJ 674 b,17h28m39.95s,-46d53m42.7s,4.55,0,4.6938,0.007,0.035,,,,17,0
GJ 676 A b,17h30m11.21s,-51d38m13.1s,16.03,0.01,1056.80005,2.8,4.96,0.96,,,17,0
GJ 676 A c,17h30m11.21s,-51d38m13.1s,16.03,0.01,7337,95,6.8,0.1,,,9,0
GJ 676 A d,17h30m11.21s,-51d38m13.1s,16.03,0.01,3.6005,0.0002,0.014,0.001,,,17,0
GJ 676 A e,17h30m11.21s,-51d38m13.1s,16.03,0.01,35.39,0.03,0.025,0.002,,,17,0
GJ 682 b,17h37m03.66s,-44d19m09.2s,5.01,0,17.478,0.062,0.01384,0.01164,,,4,0
GJ 682 c,17h37m03.66s,-44d19m09.2s,5.01,0,57.32,0.45,0.02737,0.01825,,,4,0
GJ 685 b,17h35m34.48s,+61d40m53.6s,14.32,0.01,24.16,0.061,0.02832,0.00535,,,26,0
GJ 687 b,17h36m25.90s,+68d20m20.9s,4.55,0,38.14,0.015,0.06,0.01,,,6,0
GJ 832 b,21h33m33.98s,-49d00m32.4s,4.97,0,3657,104,0.68,0.09,,,13,0
GJ 832 c,21h33m33.98s,-49d00m32.4s,4.97,0,35.68,0.03,0.017,0.003,,,4,0
GJ 849 b,22h09m40.35s,-04d38m26.6s,8.8,0,1882,250,1,0.31,,,3,0
GJ 86 b,02h10m25.93s,-50d49m25.4s,10.79,0.01,15.76491,0.00039,4.42,0.2,,,17,0
GJ 876 b,22h53m16.74s,-14d15m49.3s,4.68,0,61.1166,0.0086,2.2756,0.0045,,,4,0
GJ 876 c,22h53m16.74s,-14d15m49.3s,4.68,0,30.0881,0.0082,0.7142,0.0039,,,4,0
GJ 876 d,22h53m16.74s,-14d15m49.3s,4.68,0,1.93778,0.00002,0.021,0.001,,,3,0
GJ 876 e,22h53m16.74s,-14d15m49.3s,4.68,0,124.26,0.7,0.046,0.005,,,3,0
GJ 96 b,02h22m14.64s,+47d52m48.1s,11.94,0.01,73.94,0.33,0.06186,0.00761,,,11,0
GJ 9827 b,23h27m04.83s,-01d17m10.6s,29.69,0.05,1.2089819,0.00000693,0.01545,0.00154,0.141,0.002,16,3
GJ 9827 c,23h27m04.83s,-01d17m10.6s,29.69,0.05,3.6480957,0.0000633,0.00264,,0.111,0.002,16,3
GJ 9827 d,23h27m04.83s,-01d17m10.6s,29.69,0.05,6.2014698,0.0000626,0.01271,0.00258,0.18,0.004,16,3
GQ Lup b,15h49m12.10s,-35d39m05.1s,151.82,1.09,,,20,,3,0.5,9,1
GSC 06214-00210 b,16h21m54.67s,-20d43m09.1s,108.84,0.51,,,16,1,,,27,1
GU Psc b,01h12m35.04s,+17d03m55.7s,47.61,0.16,,,11.3,1.7,1.265,0.115,5,1
Gl 378 b,10h02m21.75s,+48d05m19.7s,14.96,0.01,3.822,0.001,0.04097,0.00639,,,11,0
